package,app_name,category,questionnaire_type,previous_run_id,source_html,note
easy.sudoku.puzzle.solver.free,Sudoku,Puzzle,games,20260518_083112_easy.sudoku.puzzle.solver.free,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_083112_easy.sudoku.puzzle.solver.free__ui_transition_interactive.html,
com.playgendary.kickthebuddy,Kick the Buddy-Fun Action Game,Action,games,20260518_083207_com.playgendary.kickthebuddy,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_083207_com.playgendary.kickthebuddy__ui_transition_interactive.html,
com.aigc.ushow.ichat,"Linky AI: Chat, Play, Connect",Social,social_apps,20260518_083508_com.aigc.ushow.ichat,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_083508_com.aigc.ushow.ichat__ui_transition_interactive.html,
musicplayer.playmusic.audioplayer,Music Player & MP3 - DDMusic,Music & Audio,others,20260518_084813_musicplayer.playmusic.audioplayer,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_084813_musicplayer.playmusic.audioplayer__ui_transition_interactive.html,
vsin.t16_funny_photo,Photo Lab,Photography,others,20260518_085544_vsin.t16_funny_photo,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_085544_vsin.t16_funny_photo__ui_transition_interactive.html,
com.life360.android.safetymapd,Life360,Lifestyle,others,20260518_085926_com.life360.android.safetymapd,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_085926_com.life360.android.safetymapd__ui_transition_interactive.html,login screen note
com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish,Oxford Dictionary & Thesaurus,Books & Reference,others,20260518_090148_com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_090148_com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish__ui_transition_interactive.html,
mobi.mangatoon.comics.aphone,MangaToon,Comics,others,20260518_091056_mobi.mangatoon.comics.aphone,file:///F:/workplace/framework/traces/20260518_091056_mobi.mangatoon.comics.aphone/analysis/interactive/ui_transition_interactive.html,
com.bd.nproject,Lemon8,Lifestyle,others,20260518_092014_com.bd.nproject,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_092014_com.bd.nproject__ui_transition_interactive.html,dynamic background note
proxy.browser.unblock.sites.proxybrowser.unblocksites,Proxy Browser,Tools,others,20260518_092913_proxy.browser.unblock.sites.proxybrowser.unblocksites,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_092913_proxy.browser.unblock.sites.proxybrowser.unblocksites__ui_transition_interactive.html,
com.xiaomi.wearable,Mi Fitness,Health & Fitness,others,20260518_093905_com.xiaomi.wearable,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_093905_com.xiaomi.wearable__ui_transition_interactive.html,
com.quora.android,Quora,News & Magazines,others,20260518_094807_com.quora.android,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_094807_com.quora.android__ui_transition_interactive.html,
com.wondershare.filmorago,FilmoraGo,Video Players & Editors,others,20260518_095206_com.wondershare.filmorago,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_095206_com.wondershare.filmorago__ui_transition_interactive.html,
com.fiverr.fiverr,Fiverr,Business,others,20260518_095719_com.fiverr.fiverr,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_095719_com.fiverr.fiverr__ui_transition_interactive.html,
com.talabat,talabat,Food & Drink,others,20260518_100541_com.talabat,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_100541_com.talabat__ui_transition_interactive.html,
com.toomics.global.google,Toomics,Comics,others,20260518_102152_com.toomics.global.google,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_102152_com.toomics.global.google__ui_transition_interactive.html,
com.sirma.mobile.bible.android,Bible,Books & Reference,others,20260518_102755_com.sirma.mobile.bible.android,file:///F:/workplace/framework/test_debug/collected_interactive_html_20260518_082912_160925/20260518_102755_com.sirma.mobile.bible.android__ui_transition_interactive.html,
